CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,ReportDate,OffenseCount,Year
Property,Downtown,12/28/22,1600,Vandalism,Vandalism,12/29/22,1,2022
Property,Downtown,5/27/22,1630,Larceny Offenses,Theft From Motor Vehicle,5/28/22,1,2022
Property,Downtown,8/8/22,0930,Larceny Offenses,Theft From Motor Vehicle,8/8/22,1,2022
Property,Downtown,10/16/22,1315,Larceny Offenses,Theft From Motor Vehicle,10/16/22,1,2022
Property,Downtown,12/12/22,2230,Vandalism,Vandalism,12/20/22,1,2022
Person,Downtown,3/15/22,1215,Assault Offenses,Simple Assault,3/16/22,1,2022
Society,Downtown,3/15/22,1215,Pornography/Obscene Material,Pornography/Obscene Material,3/16/22,1,2022
Property,Downtown,5/16/22,0900,Larceny Offenses,Theft From Motor Vehicle,5/16/22,1,2022
Property,Downtown,5/5/22,2200,Larceny Offenses,All Other Larceny,5/6/22,1,2022
Property,Downtown,5/5/22,0500,Larceny Offenses,All Other Larceny,5/9/22,1,2022
Property,Downtown,5/5/22,1700,Larceny Offenses,All Other Larceny,5/9/22,1,2022
Property,Downtown,5/6/22,0001,Larceny Offenses,All Other Larceny,5/9/22,1,2022
Property,Downtown,5/5/22,0720,Larceny Offenses,All Other Larceny,5/10/22,1,2022
Property,Downtown,5/5/22,0600,Vandalism,Vandalism,5/10/22,1,2022
Property,Downtown,5/5/22,0000,Larceny Offenses,All Other Larceny,5/10/22,1,2022
Property,Downtown,5/7/22,2300,Larceny Offenses,All Other Larceny,5/10/22,1,2022
Property,Downtown,5/5/22,0624,Larceny Offenses,All Other Larceny,6/11/22,1,2022
Property,Downtown,6/29/22,1650,Vandalism,Vandalism,6/29/22,1,2022
Property,Downtown,7/1/22,1440,Burglary,Burglary,7/1/22,1,2022
Property,Downtown,7/2/22,1605,Burglary,Burglary,7/9/22,1,2022
Property,Downtown,8/5/22,2330,Larceny Offenses,Theft From Motor Vehicle,8/6/22,1,2022
Property,Downtown,9/8/22,1230,Larceny Offenses,Theft From Motor Vehicle,9/8/22,1,2022
Property,Downtown,10/8/22,0815,Larceny Offenses,Theft From Motor Vehicle,10/8/22,1,2022
Property,Downtown,11/11/22,0055,Vandalism,Vandalism,11/12/22,1,2022
Property,Downtown,1/22/22,1725,Larceny Offenses,Theft From Building,1/22/22,1,2022
Property,Downtown,2/26/22,1300,Larceny Offenses,Theft From Motor Vehicle,2/26/22,1,2022
Property,Downtown,2/27/22,0928,Vandalism,Vandalism,2/27/22,1,2022
Property,Downtown,5/8/22,2200,Burglary,Burglary,5/10/22,1,2022
Property,Downtown,5/8/22,1900,Burglary,Burglary,5/9/22,1,2022
Property,Downtown,5/21/22,1700,Burglary,Burglary,5/21/22,1,2022
Person,Downtown,5/26/22,0313,Assault Offenses,Simple Assault,5/26/22,2,2022
